Fecha,Hora (UTC),RRR6 (mm),Traza ()
01-07-2021,0:00,0.0,Falso
01-07-2021,6:00,0.0,Falso
01-07-2021,12:00,0.0,Falso
01-07-2021,18:00,0.0,Falso
02-07-2021,0:00,0.0,Falso
02-07-2021,6:00,0.0,Falso
02-07-2021,12:00,0.0,Falso
02-07-2021,18:00,0.0,Falso
03-07-2021,0:00,0.0,Falso
03-07-2021,6:00,0.0,Falso
03-07-2021,12:00,0.0,Falso
03-07-2021,18:00,0.0,Falso
04-07-2021,0:00,0.0,Falso
04-07-2021,6:00,0.0,Falso
04-07-2021,12:00,0.0,Falso
04-07-2021,18:00,0.0,Falso
05-07-2021,0:00,0.0,Falso
05-07-2021,6:00,0.0,Falso
05-07-2021,12:00,0.0,Falso
05-07-2021,18:00,0.0,Falso
06-07-2021,0:00,0.0,Falso
06-07-2021,6:00,0.0,Falso
06-07-2021,12:00,0.0,Falso
06-07-2021,18:00,0.0,Falso
07-07-2021,0:00,0.0,Falso
07-07-2021,6:00,0.0,Falso
07-07-2021,12:00,0.0,Falso
07-07-2021,18:00,0.0,Falso
08-07-2021,0:00,0.0,Falso
08-07-2021,6:00,0.0,Falso
08-07-2021,12:00,0.0,Falso
08-07-2021,18:00,0.0,Falso
09-07-2021,0:00,0.0,Falso
09-07-2021,6:00,0.0,Falso
09-07-2021,12:00,0.0,Falso
09-07-2021,18:00,0.0,Falso
10-07-2021,0:00,0.0,Falso
10-07-2021,6:00,0.0,Falso
10-07-2021,12:00,0.0,Falso
10-07-2021,18:00,0.0,Falso
11-07-2021,0:00,0.0,Falso
11-07-2021,6:00,0.0,Falso
11-07-2021,12:00,0.0,Falso
11-07-2021,18:00,0.0,Falso
12-07-2021,0:00,0.0,Falso
12-07-2021,6:00,0.0,Falso
12-07-2021,12:00,0.0,Falso
12-07-2021,18:00,0.0,Falso
13-07-2021,0:00,0.0,Falso
13-07-2021,6:00,0.0,Falso
13-07-2021,12:00,0.0,Falso
13-07-2021,18:00,0.0,Falso
14-07-2021,0:00,0.0,Falso
14-07-2021,6:00,0.0,Falso
14-07-2021,12:00,0.0,Falso
14-07-2021,18:00,0.0,Falso
15-07-2021,0:00,0.0,Falso
15-07-2021,6:00,0.0,Falso
15-07-2021,12:00,0.0,Falso
15-07-2021,18:00,0.0,Falso
16-07-2021,0:00,0.0,Falso
16-07-2021,6:00,0.0,Falso
16-07-2021,12:00,0.0,Falso
16-07-2021,18:00,0.0,Falso
17-07-2021,0:00,0.0,Falso
17-07-2021,6:00,0.0,Falso
17-07-2021,12:00,0.0,Falso
17-07-2021,18:00,0.0,Falso
18-07-2021,0:00,0.0,Falso
18-07-2021,6:00,0.0,Falso
18-07-2021,12:00,0.0,Falso
18-07-2021,18:00,0.0,Falso
19-07-2021,0:00,0.0,Falso
19-07-2021,6:00,0.0,Falso
19-07-2021,12:00,0.0,Falso
19-07-2021,18:00,0.0,Falso
20-07-2021,0:00,0.0,Falso
20-07-2021,6:00,0.0,Falso
20-07-2021,12:00,0.0,Falso
20-07-2021,18:00,0.0,Falso
21-07-2021,0:00,0.0,Falso
21-07-2021,6:00,0.0,Falso
21-07-2021,12:00,0.0,Falso
21-07-2021,18:00,0.0,Falso
22-07-2021,0:00,0.0,Falso
22-07-2021,6:00,0.0,Falso
22-07-2021,12:00,0.0,Falso
22-07-2021,18:00,0.0,Falso
23-07-2021,0:00,0.0,Falso
23-07-2021,6:00,0.0,Falso
23-07-2021,12:00,0.0,Falso
23-07-2021,18:00,0.0,Falso
24-07-2021,0:00,0.0,Falso
24-07-2021,6:00,0.0,Falso
24-07-2021,12:00,0.0,Falso
24-07-2021,18:00,0.0,Falso
25-07-2021,0:00,0.0,Falso
25-07-2021,6:00,0.0,Falso
25-07-2021,12:00,0.0,Falso
25-07-2021,18:00,0.0,Falso
26-07-2021,0:00,0.0,Falso
26-07-2021,6:00,0.0,Falso
26-07-2021,12:00,0.0,Falso
26-07-2021,18:00,0.0,Falso
27-07-2021,0:00,0.0,Falso
27-07-2021,6:00,0.0,Falso
27-07-2021,12:00,0.0,Falso
27-07-2021,18:00,0.0,Falso
28-07-2021,0:00,0.0,Falso
28-07-2021,6:00,0.0,Falso
28-07-2021,12:00,0.0,Falso
28-07-2021,18:00,0.0,Falso
29-07-2021,0:00,0.0,Falso
29-07-2021,6:00,0.0,Falso
29-07-2021,12:00,0.0,Falso
29-07-2021,18:00,0.0,Falso
30-07-2021,0:00,0.0,Falso
30-07-2021,6:00,0.0,Falso
30-07-2021,12:00,0.0,Falso
30-07-2021,18:00,0.0,Falso
31-07-2021,0:00,0.0,Falso
31-07-2021,6:00,0.0,Falso
31-07-2021,12:00,0.0,Falso
31-07-2021,18:00,0.0,Falso